date,pool_name,blocks_mined,share
2023-01-02,Braiins Pool,6,0.038461538461538464
2023-01-02,BTC.com,3,0.019230769230769232
2023-01-02,SBI Crypto,1,0.00641025641025641
2023-01-02,Mara Pool,3,0.019230769230769232
2023-01-02,ViaBTC,17,0.10897435897435898
2023-01-02,Poolin,5,0.03205128205128205
2023-01-02,AntPool,31,0.1987179487179487
2023-01-02,Binance Pool,14,0.08974358974358974
2023-01-02,Foundry USA,46,0.2948717948717949
2023-01-03,Luxor,2,0.012987012987012988
2023-01-03,Foundry USA,43,0.2792207792207792
2023-01-03,Binance Pool,18,0.11688311688311688
2023-01-03,AntPool,32,0.2077922077922078
2023-01-03,F2Pool,27,0.17532467532467533
2023-01-03,Poolin,3,0.01948051948051948
2023-01-03,BTC.com,10,0.06493506493506493
2023-01-03,SBI Crypto,1,0.006493506493506494
2023-01-03,Braiins Pool,4,0.025974025974025976
2023-01-03,BTC M4,1,0.006493506493506494
2023-01-03,ViaBTC,13,0.08441558441558442
2023-01-04,Foundry USA,43,0.3006993006993007
2023-01-04,ViaBTC,12,0.08391608391608392
2023-01-04,Luxor,1,0.006993006993006993
2023-01-04,AntPool,25,0.17482517482517482
2023-01-04,F2Pool,16,0.11188811188811189
2023-01-04,BTC M4,1,0.006993006993006993
2023-01-04,BTC.com,2,0.013986013986013986
2023-01-04,Braiins Pool,7,0.04895104895104895
2023-01-04,Poolin,5,0.03496503496503497
2023-01-04,Mara Pool,3,0.02097902097902098
2023-01-04,Ultimus,1,0.006993006993006993
2023-01-04,Unknown,2,0.013986013986013986
2023-01-04,Binance Pool,22,0.15384615384615385
2023-01-04,SBI Crypto,3,0.02097902097902098
2023-01-05,SBI Crypto,1,0.006369426751592357
2023-01-05,Binance Pool,16,0.10191082802547771
2023-01-05,F2Pool,23,0.1464968152866242
2023-01-05,Poolin,4,0.025477707006369428
2023-01-05,AntPool,32,0.20382165605095542
2023-01-05,BTC.com,9,0.05732484076433121
2023-01-05,ViaBTC,12,0.07643312101910828
2023-01-05,Foundry USA,45,0.28662420382165604
2023-01-05,Braiins Pool,3,0.01910828025477707
2023-01-05,Luxor,6,0.03821656050955414
2023-01-05,Titan,1,0.006369426751592357
2023-01-05,Mara Pool,2,0.012738853503184714
2023-01-05,Ultimus,2,0.012738853503184714
2023-01-05,BTC M4,1,0.006369426751592357
2023-01-06,Foundry USA,51,0.2833333333333333
2023-01-06,F2Pool,32,0.17777777777777778
2023-01-06,Kucoin,1,0.005555555555555556
2023-01-06,Luxor,1,0.005555555555555556
2023-01-06,Mara Pool,7,0.03888888888888889
2023-01-06,ViaBTC,19,0.10555555555555556
2023-01-06,Braiins Pool,8,0.044444444444444446
2023-01-06,AntPool,40,0.2222222222222222
2023-01-06,Binance Pool,9,0.05
2023-01-06,Poolin,6,0.03333333333333333
2023-01-06,SBI Crypto,3,0.016666666666666666
2023-01-06,Ultimus,2,0.011111111111111112
2023-01-06,BTC.com,1,0.005555555555555556
2023-01-07,SBI Crypto,2,0.012987012987012988
2023-01-07,ViaBTC,17,0.11038961038961038
2023-01-07,Braiins Pool,6,0.03896103896103896
2023-01-07,Luxor,3,0.01948051948051948
2023-01-07,Binance Pool,9,0.05844155844155844
2023-01-07,BTC.com,3,0.01948051948051948
2023-01-07,Ultimus,1,0.006493506493506494
2023-01-07,Mara Pool,2,0.012987012987012988
2023-01-07,Unknown,1,0.006493506493506494
2023-01-07,AntPool,36,0.23376623376623376
2023-01-07,Poolin,4,0.025974025974025976
2023-01-07,Foundry USA,46,0.2987012987012987
2023-01-07,F2Pool,24,0.15584415584415584
2023-01-08,Ultimus,1,0.006535947712418301
2023-01-08,Foundry USA,46,0.3006535947712418
2023-01-08,AntPool,29,0.1895424836601307
2023-01-08,BTC.com,5,0.032679738562091505
2023-01-08,Binance Pool,15,0.09803921568627451
2023-01-08,Unknown,1,0.006535947712418301
2023-01-08,Kucoin,1,0.006535947712418301
2023-01-08,Luxor,2,0.013071895424836602
2023-01-08,Poolin,1,0.006535947712418301
2023-01-08,BTC M4,2,0.013071895424836602
2023-01-08,Mara Pool,1,0.006535947712418301
2023-01-08,ViaBTC,11,0.0718954248366013
2023-01-08,Braiins Pool,6,0.0392156862745098
2023-01-08,F2Pool,32,0.20915032679738563
2023-01-09,Poolin,4,0.02631578947368421
2023-01-09,Luxor,3,0.019736842105263157
2023-01-09,Ultimus,3,0.019736842105263157
2023-01-09,Mara Pool,4,0.02631578947368421
2023-01-09,BTC.com,3,0.019736842105263157
2023-01-09,Binance Pool,10,0.06578947368421052
2023-01-09,Unknown,3,0.019736842105263157
2023-01-09,F2Pool,28,0.18421052631578946
2023-01-09,AntPool,35,0.23026315789473684
2023-01-09,ViaBTC,10,0.06578947368421052
2023-01-09,Foundry USA,44,0.2894736842105263
2023-01-09,Braiins Pool,4,0.02631578947368421
2023-01-09,SBI Crypto,1,0.006578947368421052
2023-01-10,Ultimus,1,0.005917159763313609
2023-01-10,SBI Crypto,2,0.011834319526627219
2023-01-10,BTC M4,1,0.005917159763313609
2023-01-10,Unknown,2,0.011834319526627219
2023-01-10,Poolin,4,0.023668639053254437
2023-01-10,Mara Pool,4,0.023668639053254437
2023-01-10,Kucoin,3,0.01775147928994083
2023-01-10,Foundry USA,52,0.3076923076923077
2023-01-10,AntPool,24,0.14201183431952663
2023-01-10,Luxor,7,0.04142011834319527
2023-01-10,F2Pool,25,0.14792899408284024
2023-01-10,Braiins Pool,9,0.05325443786982249
2023-01-10,BTC.com,2,0.011834319526627219
2023-01-10,Binance Pool,19,0.11242603550295859
2023-01-10,ViaBTC,14,0.08284023668639054
2023-01-11,Kucoin,2,0.013605442176870748
2023-01-11,AntPool,31,0.2108843537414966
2023-01-11,F2Pool,24,0.16326530612244897
2023-01-11,Binance Pool,11,0.07482993197278912
2023-01-11,BTC.com,2,0.013605442176870748
2023-01-11,Braiins Pool,3,0.02040816326530612
2023-01-11,Unknown,3,0.02040816326530612
2023-01-11,Poolin,2,0.013605442176870748
2023-01-11,Luxor,5,0.034013605442176874
2023-01-11,SBI Crypto,2,0.013605442176870748
2023-01-11,Mara Pool,2,0.013605442176870748
2023-01-11,Ultimus,2,0.013605442176870748
2023-01-11,Foundry USA,42,0.2857142857142857
2023-01-11,ViaBTC,16,0.10884353741496598
2023-01-12,SBI Crypto,1,0.006622516556291391
2023-01-12,BTC.com,3,0.019867549668874173
2023-01-12,Unknown,3,0.019867549668874173
2023-01-12,F2Pool,19,0.12582781456953643
2023-01-12,Foundry USA,50,0.33112582781456956
2023-01-12,Binance Pool,11,0.0728476821192053
2023-01-12,BTC M4,1,0.006622516556291391
2023-01-12,AntPool,31,0.2052980132450331
2023-01-12,Mara Pool,1,0.006622516556291391
2023-01-12,ViaBTC,20,0.13245033112582782
2023-01-12,Poolin,4,0.026490066225165563
2023-01-12,Braiins Pool,4,0.026490066225165563
2023-01-12,Luxor,3,0.019867549668874173
2023-01-13,Ultimus,1,0.006289308176100629
2023-01-13,Unknown,2,0.012578616352201259
2023-01-13,BTC.com,4,0.025157232704402517
2023-01-13,BTC M4,1,0.006289308176100629
2023-01-13,F2Pool,19,0.11949685534591195
2023-01-13,AntPool,32,0.20125786163522014
2023-01-13,Binance Pool,14,0.0880503144654088
2023-01-13,Foundry USA,61,0.3836477987421384
2023-01-13,SBI Crypto,3,0.018867924528301886
2023-01-13,Poolin,4,0.025157232704402517
2023-01-13,ViaBTC,18,0.11320754716981132
2023-01-14,Unknown,1,0.005847953216374269
2023-01-14,Braiins Pool,1,0.005847953216374269
2023-01-14,Luxor,5,0.029239766081871343
2023-01-14,Mara Pool,3,0.017543859649122806
2023-01-14,BTC.com,5,0.029239766081871343
2023-01-14,F2Pool,21,0.12280701754385964
2023-01-14,Foundry USA,64,0.3742690058479532
2023-01-14,ViaBTC,11,0.06432748538011696
2023-01-14,AntPool,36,0.21052631578947367
2023-01-14,Binance Pool,20,0.11695906432748537
2023-01-14,Poolin,4,0.023391812865497075
2023-01-15,AntPool,34,0.2085889570552147
2023-01-15,Binance Pool,22,0.13496932515337423
2023-01-15,Braiins Pool,3,0.018404907975460124
2023-01-15,SBI Crypto,1,0.006134969325153374
2023-01-15,Foundry USA,52,0.31901840490797545
