date,miner_id,pool_name,daily_share,cost_usd_per_day
2023-01-14,6,Mara Pool,0.0175438596,174530.1095894612
2023-01-14,9,BTC.com,0.0292397661,290883.5169772570
2023-01-14,4,F2Pool,0.1228070175,1221710.7701106935
2023-01-14,0,Foundry USA,0.3742690058,3723309.0145233893
2023-01-14,3,ViaBTC,0.0643274854,639943.7371510010
2023-01-14,1,AntPool,0.2105263158,2094361.3210424646
2023-01-14,5,Binance Pool,0.1169590643,1163534.0669142064
2023-01-14,10,Poolin,0.0233918129,232706.8137807699
2023-01-15,1,AntPool,0.2085889571,2095121.0500029766
2023-01-15,5,Binance Pool,0.1349693252,1355666.5619438835
2023-01-15,8,Braiins Pool,0.0184049080,184863.6222658797
2023-01-15,7,SBI Crypto,0.0061349693,61621.2070871513
2023-01-15,0,Foundry USA,0.3190184049,3204302.7815894033
2023-01-15,10,Poolin,0.0184049080,184863.6222658797
2023-01-15,4,F2Pool,0.1165644172,1170802.9396780040
2023-01-15,6,Mara Pool,0.0122699387,123242.4151787284
2023-01-15,3,ViaBTC,0.0920245399,924318.1103249728
2023-01-15,9,BTC.com,0.0306748466,308106.0364401824
2023-01-15,2,Unknown,0.0122699387,123242.4151787284
2023-01-15,12,Kucoin,0.0184049080,184863.6222658797
2023-01-16,11,BTC M4,0.0068027211,69843.5280135036
2023-01-16,3,ViaBTC,0.0748299320,768278.8071218400
2023-01-16,5,Binance Pool,0.1020408163,1047652.9181491546
2023-01-16,4,F2Pool,0.1428571429,1466714.0862301765
2023-01-16,8,Braiins Pool,0.0272108844,279374.1120540145
2023-01-16,10,Poolin,0.0068027211,69843.5280135036
2023-01-16,6,Mara Pool,0.0068027211,69843.5280135036
2023-01-16,0,Foundry USA,0.3605442177,3701706.9785554926
2023-01-16,9,BTC.com,0.0204081633,209530.5840405109
2023-01-16,1,AntPool,0.2244897959,2304836.4203388202
2023-01-17,1,AntPool,0.1858974359,1949087.0175034183
2023-01-17,5,Binance Pool,0.0833333333,873728.6626572309
2023-01-17,4,F2Pool,0.1602564103,1680247.4293161088
2023-01-17,9,BTC.com,0.0320512821,336049.4862826115
2023-01-17,12,Kucoin,0.0064102564,67209.8970468274
2023-01-17,3,ViaBTC,0.0961538462,1008148.4577993602
2023-01-17,6,Mara Pool,0.0064102564,67209.8970468274
2023-01-17,10,Poolin,0.0384615385,403259.3833294389
2023-01-17,8,Braiins Pool,0.0192307692,201629.6911404823
2023-01-17,0,Foundry USA,0.3269230769,3427704.7546305703
2023-01-18,9,BTC.com,0.0214285714,229561.0521379967
2023-01-18,6,Mara Pool,0.0142857143,153040.7017824261
2023-01-18,10,Poolin,0.0071428571,76520.3503555706
2023-01-18,2,Unknown,0.0214285714,229561.0521379967
2023-01-18,8,Braiins Pool,0.0357142857,382601.7539204228
2023-01-18,5,Binance Pool,0.1214285714,1300845.9635436947
2023-01-18,3,ViaBTC,0.0857142857,918244.2096232717
2023-01-18,1,AntPool,0.1928571429,2066049.4724558252
2023-01-18,7,SBI Crypto,0.0071428571,76520.3503555706
2023-01-18,4,F2Pool,0.1071428571,1147805.2617612684
