date,miner_id,pool_name,blocks_mined,block_count,cost_per_block,daily_share,cost_usd_per_day
2025-01-07,8,Braiins Pool,2,119,203200.1791635181,0.0168067227,406400.3583270361
2025-01-07,10,Poolin,2,119,203200.1791635181,0.0168067227,406400.3583270361
2025-01-07,11,Carbon Negative,1,119,203200.1791635181,0.0084033613,203200.1791635181
2025-01-08,0,Foundry USA,55,114,208996.2217603918,0.4824561404,11494792.1968215499
2025-01-08,1,AntPool,27,114,208996.2217603918,0.2368421053,5642897.9875305789
2025-01-08,3,ViaBTC,14,114,208996.2217603918,0.1228070175,2925947.1046454855
2025-01-08,4,F2Pool,11,114,208996.2217603918,0.0964912281,2298958.4393643099
2025-01-08,6,MARA Pool,3,114,208996.2217603918,0.0263157895,626988.6652811754
2025-01-08,7,SBI Crypto,1,114,208996.2217603918,0.0087719298,208996.2217603918
2025-01-08,8,Braiins Pool,2,114,208996.2217603918,0.0175438596,417992.4435207836
2025-01-08,11,Carbon Negative,1,114,208996.2217603918,0.0087719298,208996.2217603918
2025-01-09,0,Foundry USA,48,137,171316.1845569963,0.3503649635,8223176.8587358240
2025-01-09,1,AntPool,32,137,171316.1845569963,0.2335766423,5482117.9058238827
2025-01-09,3,ViaBTC,21,137,171316.1845569963,0.1532846715,3597639.8756969231
2025-01-09,4,F2Pool,18,137,171316.1845569963,0.1313868613,3083691.3220259342
2025-01-09,5,Binance Pool,5,137,171316.1845569963,0.0364963504,856580.9227849817
2025-01-09,6,MARA Pool,6,137,171316.1845569963,0.0437956204,1027897.1073419780
2025-01-09,7,SBI Crypto,4,137,171316.1845569963,0.0291970803,685264.7382279853
2025-01-09,8,Braiins Pool,2,137,171316.1845569963,0.0145985401,342632.3691139927
2025-01-09,9,BTC.com,1,137,171316.1845569963,0.0072992701,171316.1845569963
2025-01-10,0,Foundry USA,55,130,180540.9021869884,0.4230769231,9929749.6202843636
2025-01-10,1,AntPool,20,130,180540.9021869884,0.1538461538,3610818.0437397687
2025-01-10,3,ViaBTC,27,130,180540.9021869884,0.2076923077,4874604.3590486879
2025-01-10,4,F2Pool,17,130,180540.9021869884,0.1307692308,3069195.3371788035
2025-01-10,5,Binance Pool,2,130,180540.9021869884,0.0153846154,361081.8043739769
2025-01-10,6,MARA Pool,3,130,180540.9021869884,0.0230769231,541622.7065609654
2025-01-10,8,Braiins Pool,3,130,180540.9021869884,0.0230769231,541622.7065609654
2025-01-10,9,BTC.com,1,130,180540.9021869884,0.0076923077,180540.9021869884
2025-01-10,11,Carbon Negative,2,130,180540.9021869884,0.0153846154,361081.8043739769
2025-01-11,0,Foundry USA,47,115,201824.3403267565,0.4086956522,9485743.9953575563
2025-01-11,1,AntPool,21,115,201824.3403267565,0.1826086957,4238311.1468618875
2025-01-11,2,Unknown,1,115,201824.3403267565,0.0086956522,201824.3403267565
2025-01-11,3,ViaBTC,18,115,201824.3403267565,0.1565217391,3632838.1258816174
2025-01-11,4,F2Pool,13,115,201824.3403267565,0.1130434783,2623716.4242478348
2025-01-11,5,Binance Pool,2,115,201824.3403267565,0.0173913043,403648.6806535131
2025-01-11,6,MARA Pool,4,115,201824.3403267565,0.0347826087,807297.3613070261
2025-01-11,7,SBI Crypto,2,115,201824.3403267565,0.0173913043,403648.6806535131
2025-01-11,8,Braiins Pool,3,115,201824.3403267565,0.0260869565,605473.0209802696
2025-01-11,10,Poolin,3,115,201824.3403267565,0.0260869565,605473.0209802696
2025-01-11,11,Carbon Negative,1,115,201824.3403267565,0.0086956522,201824.3403267565
2025-01-12,0,Foundry USA,60,143,164994.5862057180,0.4195804196,9899675.1723430790
2025-01-12,1,AntPool,22,143,164994.5862057180,0.1538461538,3629880.8965257956
2025-01-12,3,ViaBTC,24,143,164994.5862057180,0.1678321678,3959870.0689372318
2025-01-12,4,F2Pool,20,143,164994.5862057180,0.1398601399,3299891.7241143598
2025-01-12,5,Binance Pool,3,143,164994.5862057180,0.0209790210,494983.7586171540
2025-01-12,6,MARA Pool,9,143,164994.5862057180,0.0629370629,1484951.2758514620
