date,pool_name,revenue_usd,cost_usd,Pi_usd
2024-07-02,WhitePool,399198.9188485259,0.0,399198.9188485259
2024-07-03,AntPool,8457912.91030567,6276663.107594717,2181249.8027109522
2024-07-03,BTC.com,193610.48818847848,145968.9094789469,47641.578709531575
2024-07-03,Binance Pool,783381.7326960101,583875.6379157876,199506.0947802225
2024-07-03,Braiins Pool,580544.0842340449,437906.7284368407,142637.3557972042
2024-07-03,Carbon Negative,194047.89506409704,145968.9094789469,48078.985585150134
2024-07-03,F2Pool,2554427.9403323038,1897595.8232263096,656832.1171059941
2024-07-03,Foundry USA,7024091.325853856,5254880.741242088,1769210.584611768
2024-07-03,Luxor,582686.3179745402,0.0,582686.3179745402
2024-07-03,MARA Pool,586649.5022028168,437906.7284368407,148742.77376597608
2024-07-03,Poolin,194669.77208754173,145968.9094789469,48700.86260859482
2024-07-03,SBI Crypto,776221.9710956311,583875.6379157876,192346.3331798435
2024-07-03,SECPOOL,380702.1349004437,0.0,380702.1349004437
2024-07-03,SpiderPool,775084.0416179842,0.0,775084.0416179842
2024-07-03,ULTIMUSPOOL,389165.3087790767,0.0,389165.3087790767
2024-07-03,ViaBTC,4673009.507562432,3503253.8274947256,1169755.6800677069
2024-07-03,WhitePool,200158.99128009373,0.0,200158.99128009373
2024-07-04,AntPool,5749463.560229809,5014388.693454912,735074.8667748971
2024-07-04,BTC.com,181553.40054551768,161754.4739824165,19798.92656310118
2024-07-04,Binance Pool,569956.6449124462,485263.4219472495,84693.22296519665
2024-07-04,Braiins Pool,188317.31712691952,161754.4739824165,26562.843144503015
2024-07-04,F2Pool,1892970.390687525,1617544.7398241651,275425.6508633599
2024-07-04,Foundry USA,9311366.157858772,8087723.699120825,1223642.458737947
2024-07-04,Luxor,738972.8784914011,0.0,738972.8784914011
2024-07-04,MARA Pool,1687837.8017099916,1455790.2658417486,232047.53586824308
2024-07-04,SBI Crypto,553299.7472849307,485263.4219472495,68036.32533768116
2024-07-04,SECPOOL,1297840.5142750042,0.0,1297840.5142750042
2024-07-04,SpiderPool,1115007.4482767147,0.0,1115007.4482767147
2024-07-04,ViaBTC,2415299.131545782,2102808.1617714143,312490.96977436775
2024-07-04,WhitePool,369019.8929925299,0.0,369019.8929925299
2024-07-05,AntPool,7734382.109196812,7177202.003007955,557180.106188857
2024-07-05,BTC.com,186909.25603369248,170885.7619763799,16023.494057312579
2024-07-05,Binance Pool,186684.2639081613,170885.7619763799,15798.501931781386
2024-07-05,Braiins Pool,183171.20289102252,170885.7619763799,12285.440914642619
2024-07-05,F2Pool,2037774.7805801071,1879743.381740179,158031.3988399282
2024-07-05,Foundry USA,6662894.05510385,6151887.4311496755,511006.6239541741
2024-07-05,Luxor,1092816.9921487845,0.0,1092816.9921487845
2024-07-05,MARA Pool,1112296.0287193563,1025314.5718582792,86981.45686107711
2024-07-05,NiceHash,188380.28098341377,0.0,188380.28098341377
2024-07-05,Poolin,182573.17458630248,170885.7619763799,11687.412609922583
2024-07-05,SBI Crypto,367494.3767509046,341771.5239527597,25722.852798144915
2024-07-05,SECPOOL,192069.305048538,0.0,192069.305048538
2024-07-05,ViaBTC,2020523.9225883288,1879743.381740179,140780.54084814992
2024-07-05,WhitePool,184040.45679229833,0.0,184040.45679229833
2024-07-06,AntPool,6801102.617647103,4558468.44837089,2242634.1692762133
2024-07-06,BTC.com,186392.96223026465,126624.123565858,59768.83866440665
2024-07-06,Binance Pool,746556.257301127,506496.4942634322,240059.76303769473
2024-07-06,Braiins Pool,376442.35999893455,253248.2471317161,123194.11286721844
2024-07-06,Carbon Negative,375203.0750313837,253248.2471317161,121954.82789966761
2024-07-06,F2Pool,5063785.824421443,3418851.336278167,1644934.488143276
2024-07-06,Foundry USA,9634313.944907185,6457830.30185876,3176483.6430484243
2024-07-06,Luxor,936968.2424648373,0.0,936968.2424648373
2024-07-06,MARA Pool,1902215.698800433,1266241.2356585804,635974.4631418525
2024-07-06,OCEAN,192162.0267640131,0.0,192162.0267640131
2024-07-06,SBI Crypto,380641.01626867836,253248.2471317161,127392.76913696225
2024-07-06,SECPOOL,373586.29387246975,0.0,373586.29387246975
2024-07-06,SpiderPool,376577.7131159603,0.0,376577.7131159603
2024-07-06,ULTIMUSPOOL,375564.2169476787,0.0,375564.2169476787
2024-07-06,ViaBTC,3012190.4123482066,2025985.977053729,986204.4352944777
2024-07-06,WhitePool,378268.76653558644,0.0,378268.76653558644
2024-07-07,AntPool,5197505.684021985,4319832.520467269,877673.1635547159
2024-07-07,BTC.com,545839.2143650958,446879.2262552347,98959.98810986115
2024-07-07,Binance Pool,538970.4044925564,446879.2262552347,92091.17823732167
2024-07-07,Braiins Pool,541032.5059204788,446879.2262552347,94153.27966524416
2024-07-07,Carbon Negative,180257.4969196083,148959.7420850782,31297.75483453009
2024-07-07,F2Pool,2202972.3050884353,1787516.9050209387,415455.4000674966
2024-07-07,Foundry USA,8309806.217255094,6852148.135913599,1457658.0813414948
2024-07-07,KanoPool,182063.31141080876,0.0,182063.31141080876
2024-07-07,Luxor,357636.8865008558,0.0,357636.8865008558
2024-07-07,MARA Pool,2033014.093961387,1638557.1629358607,394456.93102552625
2024-07-07,Poolin,362166.0446119023,297919.4841701565,64246.56044174585
2024-07-07,SBI Crypto,717215.8749575376,595838.968340313,121376.90661722468
2024-07-07,SpiderPool,1248079.4491837218,0.0,1248079.4491837218
2024-07-07,ViaBTC,2886098.0165395355,2383355.873361252,502742.1431782837
2024-07-07,WhitePool,179795.3851923978,0.0,179795.3851923978
2024-07-08,AntPool,7308540.951455002,5508132.8751215665,1800408.0763334353
2024-07-08,Binance Pool,1831311.4045316163,1377033.2187803916,454278.18575122464
2024-07-08,Braiins Pool,185930.21301980296,137703.3218780392,48226.89114176377
2024-07-08,Carbon Negative,185897.16144898065,137703.3218780392,48193.83957094146
2024-07-08,F2Pool,3113674.4058281523,2340956.471926666,772717.9339014865
2024-07-08,Foundry USA,8814808.379839908,6609759.45014588,2205048.9296940286
2024-07-08,Luxor,1095761.2657594765,0.0,1095761.2657594765
2024-07-08,MARA Pool,1647150.372104893,1239329.8969023526,407820.4752025404
2024-07-08,Poolin,181238.96920804252,137703.3218780392,43535.647330003325
2024-07-08,SBI Crypto,185417.65071974072,137703.3218780392,47714.32884170153
2024-07-08,SECPOOL,544951.3481863646,0.0,544951.3481863646
2024-07-08,SpiderPool,1104586.4286750744,0.0,1104586.4286750744
2024-07-08,ULTIMUSPOOL,187889.6901375919,0.0,187889.6901375919
2024-07-08,ViaBTC,2549693.664962012,1927846.5062925485,621847.1586694634
2024-07-08,WhitePool,181251.56513568867,0.0,181251.56513568867
2024-07-09,AntPool,6709776.152578363,5164636.329774385,1545139.8228039779
2024-07-09,BTC.com,375558.1955735563,286924.2405430214,88633.95503053488
2024-07-09,Binance Pool,1116188.286681872,860772.7216290643,255415.5650528078
2024-07-09,Braiins Pool,931377.2834680368,717310.6013575535,214066.6821104833
2024-07-09,Carbon Negative,375977.6596125303,286924.2405430214,89053.4190695089
2024-07-09,F2Pool,2252195.939769053,1721545.4432581286,530650.4965109243
2024-07-09,Foundry USA,8041002.521957068,6168871.17167496,1872131.3502821075
2024-07-09,Luxor,1307727.166865427,0.0,1307727.166865427
