Average electricity cost assumption: 0.05 USD/kWh,,,
Date,Lower bound cost of minting USD,Estimated cost of minting USD,Upper bound cost of minting USD
2024-05-16,24001.340353027084,38088.0270229731,60003.35088256771
2024-05-17,24083.005541915954,38291.508728532426,60641.62781775538
2024-05-18,24175.803585089056,38512.66881156962,61307.80452586594
2024-05-19,24238.30510608803,38611.85325651192,61464.05832836338
2024-05-20,24309.07927407865,38798.63476762011,62078.5325218228
2024-05-21,24261.21782474439,38795.08125555797,62384.25151984153
2024-05-22,24283.747733639375,38904.7279316346,62874.73423583527
2024-05-23,24304.186422715986,39011.04452232402,63359.92131992591
2024-05-24,24349.052604554578,39083.197755129564,63477.69504725221
2024-05-25,24409.162408494823,39179.86559045373,63635.483282595356
2024-05-26,24450.713627886747,39321.332022447124,64183.12327320272
2024-05-27,24428.42809425193,39285.492705824785,64124.623747411315
2024-05-28,24556.925623594852,39492.140826294955,64461.929761936495
2024-05-29,24452.992320436588,39324.996587322115,64189.10484114604
2024-05-30,24324.124503515275,39138.29678460952,64477.799648153494
2024-06-02,24217.652458852554,38962.187341798715,64837.930376082564
2024-06-03,24062.051019428072,38707.11634501551,65062.844316206734
2024-06-04,23906.95888275822,38452.84001085801,65292.29059501409
2024-06-05,23627.302881408425,38019.772221790416,65357.78575469048
2024-06-06,23262.726599709025,37449.97268057878,65192.49856984918
2024-06-07,22008.143749872474,35443.39134456441,62427.90543829211
2024-06-08,21535.815931658155,34700.2805963551,61890.9481495151
2024-06-09,21293.285412229074,34355.985874926744,62082.22476160115
2024-06-10,21087.3428601274,34095.24747891123,62494.26715063915
2024-06-11,20973.971419944948,34061.74513662218,63261.24046014636
2024-06-12,21084.767155009537,34368.422861446816,64467.89587334868
2024-06-13,21163.00877632292,34620.10298483078,65563.7762947778
2024-06-14,22274.131042316672,36537.48767294735,69624.01574201607
2024-06-15,22706.028981488424,37339.95291947453,71140.3054538647
2024-06-16,22945.274572533763,37833.35290902849,72067.44020025882
