Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1517443200,2018-02-01T00:00:00,18.03822836627314,1.9259030552271714,3.7611529641004915,158.12310985875038,16.882466182121384,32.97026688330491
1517529600,2018-02-02T00:00:00,18.259035335742855,1.9494781430064285,3.7817362051006715,160.05870375312188,17.08912540159435,33.15069957391248
1517616000,2018-02-03T00:00:00,18.27602052762857,1.9512916156092857,3.761076546542697,160.20759594519205,17.1050223,32.96959700699328
1517702400,2018-02-04T00:00:00,18.61572358,1.987560984,3.8050793289573934,163.1854328827844,17.422959582058773,33.35532539764051
1517788800,2018-02-05T00:00:00,19.244174102413712,2.054659301711657,3.9086083284681012,168.6944301817586,18.011143438804385,34.26286060735137
1517875200,2018-02-06T00:00:00,19.30930693158857,2.0616133945502857,3.896085618579692,169.2653845623054,18.072103016627803,34.15308653246958
1517961600,2018-02-07T00:00:00,19.96682759901257,2.1318154696406855,4.010206042539523,175.0292107329442,18.68749440687025,35.15346616890145
1518048000,2018-02-08T00:00:00,19.70641336725257,2.1040115991946857,3.957903556,172.7464196,18.443765678540615,34.69498257451572
1518134400,2018-02-09T00:00:00,19.38514725723086,2.0697107038812286,3.893379370406848,169.93020085688568,18.143084030222848,34.12936356098643
1518220800,2018-02-10T00:00:00,18.49095326156914,2.0695659343913713,3.8206522432625545,162.09169629091508,18.14181498087476,33.49183756443956
1518307200,2018-02-11T00:00:00,17.35716596042743,2.049173252784114,3.705782892855388,152.15291680910687,17.963052733905545,32.484892838770335
1518393600,2018-02-12T00:00:00,16.29218809,2.046126479,3.6159431669862268,142.81732077197444,17.936344711991413,31.697357801801264
1518480000,2018-02-13T00:00:00,15.442782614910856,2.0647626705118287,3.567905111281181,135.37143240230856,18.099709569706686,31.27625620549083
1518566400,2018-02-14T00:00:00,15.03795231,2.1408644736973996,3.620366757659684,131.82268992379315,18.76681797643141,31.73613499764479
1518652800,2018-02-15T00:00:00,14.22003772,2.140864474,3.5539920829160576,124.65285063192059,18.76681797643141,31.154294598842164
1518739200,2018-02-16T00:00:00,13.652450053590856,2.184923421235028,3.5573240840742963,119.67737716977744,19.15303871054626,31.183502920995288
1518825600,2018-02-17T00:00:00,13.727532362091429,2.1969395131247142,3.5768877596979793,120.33554868609346,19.258371772051245,31.35499810151249
1518912000,2018-02-18T00:00:00,13.865182998301716,2.218968972879057,3.6127544298895473,121.54219416311282,19.451482016257813,31.669405332411774
1518998400,2018-02-19T00:00:00,13.815128125968002,2.2109582449525997,3.599711979473759,121.10341315223548,19.38125997525449,31.555075212066974
1519084800,2018-02-20T00:00:00,13.587393361117716,2.174511818150257,3.5403727135835434,119.10709020355787,19.061770597905156,31.03490720727334
1519171200,2018-02-21T00:00:00,13.559887017654859,2.1701097325298284,3.533205577,118.86596959676248,19.023181915356478,30.972080085522087
1519257600,2018-02-22T00:00:00,13.871210557542858,2.2199336169764288,3.614324989135144,121.59503174742068,19.459938086415374,31.683172854758663
1519344000,2018-02-23T00:00:00,13.84408636581943,2.215592690509314,3.6072574268953956,121.3572610827731,19.421885525004647,31.621218604165033
1519430400,2018-02-24T00:00:00,13.877797508468573,2.2209877855172855,3.616041305186598,121.65277295923549,19.469178927844524,31.698218081265715
1519516800,2018-02-25T00:00:00,14.089206933154287,2.254821522440143,3.671126790581725,123.50598797603048,19.76576546571029,32.18109745
1519603200,2018-02-26T00:00:00,13.907874356550858,2.2258012519320283,3.623878220585385,121.91642660952482,19.51137377443616,31.766916481651485
1519689600,2018-02-27T00:00:00,14.177985756150859,2.2690295897770283,3.694259272,124.28422313841841,19.890313383985433,32.383876777082506
1519776000,2018-02-28T00:00:00,13.994706167225145,2.2396977215111713,3.6465033823814665,122.6775942618956,19.633190226766924,31.96524864995593
1519862400,2018-03-01T00:00:00,14.204168579588572,2.2732198606762855,3.7030648112824815,124.51374176867343,19.927045298688316,32.46106613570224
1519948800,2018-03-02T00:00:00,14.308899698201145,2.2899809162443714,3.732228956329951,125.43181475443123,20.073972711798156,32.71671903118835
1520035200,2018-03-03T00:00:00,14.76709875808457,2.363310600923486,3.8537822624496223,129.44838771336936,20.716780727695273,33.78225531263338
1520121600,2018-03-04T00:00:00,14.465996638827429,2.3151225416399144,3.777105101387962,126.80892653596125,20.294364200015487,33.11010331876687
1520208000,2018-03-05T00:00:00,14.723606317316571,2.3563501174858854,3.846159976783158,129.06713297759708,20.655765129881274,33.71543835648116
1520294400,2018-03-06T00:00:00,14.863571581110858,2.3787500077490287,3.884681425568382,130.29406848001778,20.85212256792798,34.053117376532434
1520380800,2018-03-07T00:00:00,15.083318288749714,2.413918034467657,3.9440041228671316,132.2203681,21.160405490143482,34.57314014105328
1520467200,2018-03-08T00:00:00,15.24377228003657,2.439596918639886,3.9859598245934467,133.62690780680057,21.385506588797238,34.940923822386154
1520553600,2018-03-09T00:00:00,15.292860213894857,2.4474528987728283,3.998795396303454,134.05721263500232,21.454372110642616,35.053440443996074
1520640000,2018-03-10T00:00:00,14.941808830690286,2.3912710130153427,3.9070020603682343,130.97989620983103,20.961881700092494,34.24878006118795
1520726400,2018-03-11T00:00:00,15.195898054498286,2.4319351790809427,3.9734416147879226,133.20724234573197,21.318343779823547,34.831189195230934
1520812800,2018-03-12T00:00:00,15.39861169,2.464377251,4.026447418392791,134.98423005841056,21.602730981932893,35.29583807
1520899200,2018-03-13T00:00:00,15.427260283522287,2.4689621413477427,4.033938487404274,135.23536364535636,21.642922131054316,35.36150478058587
1520985600,2018-03-14T00:00:00,15.241044501236571,2.439160367854886,3.9852465617273114,133.6029960978398,21.38167978461593,34.93467136010161
1521072000,2018-03-15T00:00:00,14.983207318114287,2.3978963824121426,3.917826986419321,131.34279535058982,21.019959688224844,34.343671362951774
1521158400,2018-03-16T00:00:00,15.126450294925714,2.4208208343408573,3.9552823314767425,132.59846328531881,21.220915433831955,34.672004917725125
1521244800,2018-03-17T00:00:00,15.255368886486858,2.4414528270622284,3.988992119130738,133.72856365894378,21.401775482027496,34.967504916300044
1521331200,2018-03-18T00:00:00,15.29033874799543,2.447049366082514,3.998136080381543,134.03510946492793,21.45083474307932,35.04766088062461
1521417600,2018-03-19T00:00:00,15.320403336397716,2.4518608704712572,4.005997404948257,134.2986556468624,21.493012390551037,35.11657325177642
1521504000,2018-03-20T00:00:00,14.971404048486857,2.396007399837228,3.9147406533470677,131.2393278890358,21.003400866973145,34.316616567240395
1521590400,2018-03-21T00:00:00,15.199763356464002,2.432553778,3.9744523185731944,133.24112558276343,21.323766416631344,34.84004902461262
1521676800,2018-03-22T00:00:00,15.292467904134858,2.4473901139408283,3.9986928146777623,134.05377364764618,21.45382174,35.05254121346527
1521763200,2018-03-23T00:00:00,15.062553543318858,2.410594866944628,3.9385745323737273,132.0383443607331,21.13127460363661,34.52554435
1521849600,2018-03-24T00:00:00,15.279582279901716,2.445327912499057,3.9953234662274855,133.94081826561845,21.435744480966736,35.02300550495014
1521936000,2018-03-25T00:00:00,15.087816365341714,2.4146379018070574,3.945180285,132.25979825858548,21.16671584724066,34.58345038110811
1522022400,2018-03-26T00:00:00,15.012452784754286,2.402576795435143,3.9254741260470363,131.5991611111561,21.06098818878446,34.410706188928316
1522108800,2018-03-27T00:00:00,15.389271388244575,2.462882439410486,4.024005105589331,134.90235298935193,21.58962746387232,35.27442875559608
1522195200,2018-03-28T00:00:00,15.133034618777145,2.4218745824475714,3.957004008,132.65618146820046,21.23015258973541,34.68709714
1522281600,2018-03-29T00:00:00,15.26868937908343,2.4435846243691137,3.992475177481279,133.84533109704535,21.420462817219654,34.998037405800886
1522368000,2018-03-30T00:00:00,14.570710036518859,2.513539175865143,4.042942554517148,127.72684418012432,22.033684415633843,35.44043443289731
1522454400,2018-03-31T00:00:00,13.251812906070857,2.4459968792782285,3.8821554476466287,116.16539193461713,21.44160864375295,34.03097465407034
1522540800,2018-04-01T00:00:00,12.536233691917715,2.514878875246886,3.9246201683868587,109.89262454335069,22.045428220414202,34.4032204
1522627200,2018-04-02T00:00:00,11.55125314562743,2.534625153373972,3.8891046596606857,101.25828507457004,22.218524094476233,34.09189144658557
1522713600,2018-04-03T00:00:00,10.593380396475428,2.5666691582085717,3.870640587851033,92.86157256,22.499421840856336,33.93003539310216
1522800000,2018-04-04T00:00:00,9.760879706,2.6005845994998573,3.8621857868809926,85.56387149932968,22.796724599215743,33.85592060779878
1522886400,2018-04-05T00:00:00,8.745753657,2.615506424,3.8187877961278054,76.66527655747237,22.927529311614617,33.47549382085635
1522972800,2018-04-06T00:00:00,8.567766399250285,2.5622775273838285,3.7356901927024433,75.10504026,22.460924805046638,32.74706022922962
1523059200,2018-04-07T00:00:00,9.007543718454857,2.6937973996050855,3.922802130146119,78.96012823597526,23.613828004938178,34.38728347286088
1523145600,2018-04-08T00:00:00,9.005128840594285,2.6930752058634284,3.9217504463229163,78.93895942,23.607497254598815,34.378064412466685
1523232000,2018-04-09T00:00:00,8.931517428836571,2.671060965825057,3.889692539,78.29368178118138,23.41452042642245,34.09704479579096
1523318400,2018-04-10T00:00:00,8.939696485001143,2.6735069956103144,3.893254533127916,78.36537938752001,23.435962323520013,34.12826923739931
1523404800,2018-04-11T00:00:00,9.054203083858285,2.7077513565460287,3.943122371014984,79.36914423310172,23.736148391482484,34.56541070431735
1523491200,2018-04-12T00:00:00,9.037844971529143,2.702859296975514,3.9359983825120515,79.22574902042446,23.693264597287357,34.50296182110065
1523577600,2018-04-13T00:00:00,9.258679206802286,2.768902017090628,4.032172105,81.16158192682883,24.27219508181645,35.34602067112782
1523664000,2018-04-14T00:00:00,9.001800065581714,2.692079701899971,3.920300758581369,78.90977937488928,23.59877066685515,34.36535644972428
1523750400,2018-04-15T00:00:00,9.14280031,2.7342472563735996,3.981706628427577,80.14578751311205,23.968411449370972,34.903640304796134
1523836800,2018-04-16T00:00:00,9.201545311021714,2.7518155454959716,4.007290186419861,80.66074619641634,24.122415071817688,35.12790577
1523923200,2018-04-17T00:00:00,9.309064735,2.7839703207127426,4.054115096390156,81.60326146311287,24.404283831367902,35.53837293
1524009600,2018-04-18T00:00:00,9.423233835346284,2.8181137494252284,4.103835953,82.60406780064554,24.703585127461555,35.97422596608747
1524096000,2018-04-19T00:00:00,9.755643281801143,2.9175241692303144,4.248600888651573,85.51796901,25.575016867472932,37.24323538991969
1524182400,2018-04-20T00:00:00,9.631390571053714,2.880365134584771,4.194488600814679,84.42876974585684,25.249280769770106,36.76888707474147
