2025-12-30 17:42:41,302 - INFO - Collected 790120: Pool=Unknown, Score=None
2025-12-30 17:42:42,161 - INFO - Collected 790121: Pool=Unknown, Score=None
2025-12-30 17:42:42,977 - INFO - Collected 790122: Pool=Unknown, Score=None
2025-12-30 17:42:43,845 - INFO - Collected 790123: Pool=Unknown, Score=None
2025-12-30 17:42:44,652 - INFO - Collected 790124: Pool=Unknown, Score=None
2025-12-30 17:42:45,479 - INFO - Collected 790125: Pool=Unknown, Score=None
2025-12-30 17:42:46,328 - INFO - Collected 790126: Pool=Unknown, Score=None
2025-12-30 17:42:47,145 - INFO - Collected 790127: Pool=Unknown, Score=None
2025-12-30 17:42:47,952 - INFO - Collected 790128: Pool=Unknown, Score=None
2025-12-30 17:42:48,788 - INFO - Collected 790129: Pool=Unknown, Score=None
2025-12-30 17:42:49,631 - INFO - Collected 790130: Pool=Unknown, Score=None
2025-12-30 17:42:50,447 - INFO - Collected 790131: Pool=Unknown, Score=None
2025-12-30 17:42:51,329 - INFO - Collected 790132: Pool=Unknown, Score=None
2025-12-30 17:42:52,178 - INFO - Collected 790133: Pool=Unknown, Score=None
2025-12-30 17:42:53,009 - INFO - Collected 790134: Pool=Unknown, Score=None
2025-12-30 17:42:53,838 - INFO - Collected 790135: Pool=Unknown, Score=None
2025-12-30 17:42:54,670 - INFO - Collected 790136: Pool=Unknown, Score=None
2025-12-30 17:42:55,494 - INFO - Collected 790137: Pool=Unknown, Score=None
2025-12-30 17:42:56,350 - INFO - Collected 790138: Pool=Unknown, Score=None
2025-12-30 17:42:57,209 - INFO - Collected 790139: Pool=Unknown, Score=None
2025-12-30 17:42:58,081 - INFO - Collected 790140: Pool=Unknown, Score=None
2025-12-30 17:42:58,944 - INFO - Collected 790141: Pool=Unknown, Score=None
2025-12-30 17:42:59,743 - INFO - Collected 790142: Pool=Unknown, Score=None
2025-12-30 17:43:00,519 - INFO - Collected 790143: Pool=Unknown, Score=None
2025-12-30 17:43:01,288 - INFO - Collected 790144: Pool=Unknown, Score=None
2025-12-30 17:43:02,145 - INFO - Collected 790145: Pool=Unknown, Score=None
2025-12-30 17:43:02,969 - INFO - Collected 790146: Pool=Unknown, Score=None
2025-12-30 17:43:03,853 - INFO - Collected 790147: Pool=Unknown, Score=None
2025-12-30 17:43:04,689 - INFO - Collected 790148: Pool=Unknown, Score=None
2025-12-30 17:43:05,558 - INFO - Collected 790149: Pool=Unknown, Score=None
2025-12-30 17:43:06,379 - INFO - Collected 790150: Pool=Unknown, Score=None
2025-12-30 17:43:07,217 - INFO - Collected 790151: Pool=Unknown, Score=None
2025-12-30 17:43:08,043 - INFO - Collected 790152: Pool=Unknown, Score=None
2025-12-30 17:43:08,830 - INFO - Collected 790153: Pool=Unknown, Score=None
2025-12-30 17:43:09,731 - INFO - Collected 790154: Pool=Unknown, Score=None
2025-12-30 17:43:10,535 - INFO - Collected 790155: Pool=Unknown, Score=None
2025-12-30 17:43:11,354 - INFO - Collected 790156: Pool=Unknown, Score=None
2025-12-30 17:43:12,153 - INFO - Collected 790157: Pool=Unknown, Score=None
2025-12-30 17:43:12,983 - INFO - Collected 790158: Pool=Unknown, Score=None
2025-12-30 17:43:13,830 - INFO - Collected 790159: Pool=Unknown, Score=None
2025-12-30 17:43:14,685 - INFO - Collected 790160: Pool=Unknown, Score=None
2025-12-30 17:43:15,489 - INFO - Collected 790161: Pool=Unknown, Score=None
2025-12-30 17:43:16,309 - INFO - Collected 790162: Pool=Unknown, Score=None
2025-12-30 17:43:17,123 - INFO - Collected 790163: Pool=Unknown, Score=None
2025-12-30 17:43:17,944 - INFO - Collected 790164: Pool=Unknown, Score=None
2025-12-30 17:43:18,731 - INFO - Collected 790165: Pool=Unknown, Score=None
2025-12-30 17:43:19,530 - INFO - Collected 790166: Pool=Unknown, Score=None
2025-12-30 17:43:20,365 - INFO - Collected 790167: Pool=Unknown, Score=None
2025-12-30 17:43:21,223 - INFO - Collected 790168: Pool=Unknown, Score=None
2025-12-30 17:43:22,058 - INFO - Collected 790169: Pool=Unknown, Score=None
2025-12-30 17:43:22,891 - INFO - Collected 790170: Pool=Unknown, Score=None
2025-12-30 17:43:23,736 - INFO - Collected 790171: Pool=Unknown, Score=None
2025-12-30 17:43:24,608 - INFO - Collected 790172: Pool=Unknown, Score=None
2025-12-30 17:43:25,477 - INFO - Collected 790173: Pool=Unknown, Score=None
2025-12-30 17:43:26,453 - INFO - Collected 790174: Pool=Unknown, Score=None
2025-12-30 17:43:27,397 - INFO - Collected 790175: Pool=Unknown, Score=None
2025-12-30 17:43:28,240 - INFO - Collected 790176: Pool=Unknown, Score=None
2025-12-30 17:43:29,098 - INFO - Collected 790177: Pool=Unknown, Score=None
2025-12-30 17:43:29,931 - INFO - Collected 790178: Pool=Unknown, Score=None
2025-12-30 17:43:30,736 - INFO - Collected 790179: Pool=Unknown, Score=None
2025-12-30 17:43:31,580 - INFO - Collected 790180: Pool=Unknown, Score=None
2025-12-30 17:43:36,474 - INFO - Resuming... 0 blocks already collected.
2025-12-30 17:43:36,474 - INFO - Starting collection from 790000 to 890000
2025-12-30 17:43:37,900 - INFO - Collected 790000: Pool=AntPool, Score=99.5
2025-12-30 17:43:38,788 - INFO - Collected 790001: Pool=Foundry USA, Score=98.5
2025-12-30 17:43:39,642 - INFO - Collected 790002: Pool=Foundry USA, Score=99.24
2025-12-30 17:43:40,429 - INFO - Collected 790003: Pool=F2Pool, Score=99.52
2025-12-30 17:43:41,629 - INFO - Collected 790004: Pool=F2Pool, Score=98.53
2025-12-30 17:43:42,546 - INFO - Collected 790005: Pool=AntPool, Score=99.04
2025-12-30 17:43:43,552 - INFO - Collected 790006: Pool=Foundry USA, Score=99.82
2025-12-30 17:43:44,800 - INFO - Collected 790007: Pool=NiceHash, Score=99.06
2025-12-30 17:43:45,942 - INFO - Collected 790008: Pool=Binance Pool, Score=98.6
2025-12-30 17:43:47,379 - INFO - Collected 790009: Pool=Binance Pool, Score=99.48
2025-12-30 17:43:48,341 - INFO - Collected 790010: Pool=Foundry USA, Score=100
2025-12-30 17:43:49,448 - INFO - Collected 790011: Pool=ViaBTC, Score=98.1
2025-12-30 17:43:50,611 - INFO - Collected 790012: Pool=Foundry USA, Score=98.25
2025-12-30 17:43:51,578 - INFO - Collected 790013: Pool=Binance Pool, Score=98.28
2025-12-30 17:43:52,849 - INFO - Collected 790014: Pool=Foundry USA, Score=98.56
2025-12-30 17:43:54,162 - INFO - Collected 790015: Pool=Carbon Negative, Score=100
2025-12-30 17:43:55,003 - INFO - Collected 790016: Pool=Foundry USA, Score=98.46
2025-12-30 17:43:56,277 - INFO - Collected 790017: Pool=Foundry USA, Score=97.34
2025-12-30 17:43:57,512 - INFO - Collected 790018: Pool=Braiins Pool, Score=99.24
2025-12-30 17:43:58,905 - INFO - Collected 790019: Pool=ViaBTC, Score=99.08
2025-12-30 17:43:59,718 - INFO - Collected 790020: Pool=PEGA Pool, Score=98.73
2025-12-30 17:44:00,510 - INFO - Collected 790021: Pool=ViaBTC, Score=100
2025-12-30 17:44:02,806 - INFO - Collected 790022: Pool=BTC.com, Score=100
2025-12-30 17:44:04,086 - INFO - Collected 790023: Pool=ViaBTC, Score=98.41
2025-12-30 17:44:04,947 - INFO - Collected 790024: Pool=MARA Pool, Score=100
2025-12-30 17:44:06,104 - INFO - Collected 790025: Pool=AntPool, Score=98.08
2025-12-30 17:44:07,047 - INFO - Collected 790026: Pool=Luxor, Score=100
2025-12-30 17:44:07,875 - INFO - Collected 790027: Pool=ViaBTC, Score=98.19
